DATE,CLOSING.PRICE
5/12/1986,63.67
5/13/1986,63.21
5/14/1986,63.06
5/15/1986,62.12
5/16/1986,61.67
5/19/1986,61.78
5/20/1986,62.26
5/21/1986,62.12
5/22/1986,62.69
5/23/1986,62.58
5/27/1986,62.85
5/28/1986,63
5/29/1986,63.58
5/30/1986,63.87
6/2/1986,63.58
6/3/1986,63.53
6/4/1986,63.4
6/5/1986,63.41
6/6/1986,62.96
6/9/1986,61.4
6/10/1986,61.38
6/11/1986,61.82
6/12/1986,61.55
6/13/1986,62.01
6/16/1986,61.17
6/17/1986,59.95
6/18/1986,59.44
6/19/1986,59.49
6/20/1986,59.81
6/23/1986,59.4
6/24/1986,59.54
6/25/1986,59.68
6/26/1986,59.33
6/27/1986,59.42
6/30/1986,59.94
7/1/1986,60.21
7/2/1986,60.61
7/3/1986,60.69
7/7/1986,58.47
7/8/1986,57.41
7/9/1986,57.99
7/10/1986,58.03
7/11/1986,57.48
7/14/1986,56.19
7/15/1986,54.77
7/16/1986,54.91
7/17/1986,55.15
7/18/1986,54.74
7/21/1986,54.44
7/22/1986,54.51
7/23/1986,54.69
7/24/1986,54.79
7/25/1986,55.44
7/28/1986,54.54
7/29/1986,53.93
7/30/1986,54.2
7/31/1986,54.14
8/1/1986,53.74
8/4/1986,53.51
8/5/1986,53.28
8/6/1986,52.95
8/7/1986,53.39
8/8/1986,53.81
8/11/1986,55.21
8/12/1986,55.93
8/13/1986,56.24
8/14/1986,56.6
8/15/1986,56.74
8/18/1986,56.57
8/19/1986,56.51
8/20/1986,57.24
8/21/1986,57.28
8/22/1986,57.92
8/25/1986,57.69
8/26/1986,58.39
8/27/1986,58.47
8/28/1986,58.38
8/29/1986,58.46
9/2/1986,57.6
9/3/1986,57.8
9/4/1986,58.99
9/5/1986,58.37
9/8/1986,57.86
9/9/1986,57.81
9/10/1986,57.26
9/11/1986,54.65
9/12/1986,53.72
9/15/1986,53.92
9/16/1986,54.24
9/17/1986,54.81
9/18/1986,54.85
9/19/1986,54.79
9/22/1986,55.38
9/23/1986,55.31
9/24/1986,54.83
9/25/1986,53.85
9/26/1986,53.54
9/29/1986,52.88
9/30/1986,53.44
10/1/1986,53.74
10/2/1986,53.57
10/3/1986,53.55
10/6/1986,53.89
10/7/1986,53.13
10/8/1986,53.19
10/9/1986,52.88
10/10/1986,52.91
10/13/1986,53.12
10/14/1986,53.08
10/15/1986,53.62
10/16/1986,53.87
10/17/1986,53.9
10/20/1986,53.47
10/21/1986,53.51
10/22/1986,53.67
10/23/1986,54.59
10/24/1986,54.76
10/27/1986,54.96
10/28/1986,55.13
10/29/1986,55.54
10/30/1986,56.14
10/31/1986,56.25
11/3/1986,56.67
11/4/1986,57.15
11/5/1986,57.5
11/6/1986,57.22
11/7/1986,57.38
11/10/1986,57.33
11/11/1986,57.64
11/12/1986,57.36
11/13/1986,56.29
11/14/1986,56.52
11/17/1986,56.56
11/18/1986,55.06
11/19/1986,55.07
11/20/1986,56.06
11/21/1986,56.53
11/24/1986,57.33
11/25/1986,57.85
11/26/1986,58.01
11/28/1986,58.06
12/1/1986,58.03
12/2/1986,58.92
12/3/1986,59.01
12/4/1986,58.88
12/5/1986,58.51
12/8/1986,58.58
12/9/1986,58.1
12/10/1986,58.26
12/11/1986,57.77
12/12/1986,57.1
12/15/1986,57.06
12/16/1986,57.35
12/17/1986,56.89
12/18/1986,56.78
12/19/1986,57.47
12/22/1986,57.12
12/23/1986,56.47
12/24/1986,56.66
12/26/1986,56.72
12/29/1986,55.99
12/30/1986,55.95
12/31/1986,55.9
1/2/1987,56.56
1/5/1987,58.24
1/6/1987,58.81
1/7/1987,60.15
1/8/1987,61.28
1/9/1987,61.97
1/12/1987,63.05
1/13/1987,62.81
1/14/1987,64.73
1/15/1987,66.15
1/16/1987,65.9
1/19/1987,68.08
1/20/1987,67.65
1/21/1987,67.11
1/22/1987,68.87
1/23/1987,67.86
1/26/1987,67.15
1/27/1987,68.43
1/28/1987,68.75
1/29/1987,67.73
1/30/1987,68.21
2/2/1987,69.9
2/3/1987,71.1
2/4/1987,72.28
2/5/1987,73.11
2/6/1987,72.86
2/9/1987,72.4
2/10/1987,71.56
2/11/1987,73.42
2/12/1987,73.21
2/13/1987,74.4
2/17/1987,76.4
2/18/1987,75.75
2/19/1987,75.18
2/20/1987,74.35
2/23/1987,74
2/24/1987,74.65
2/25/1987,75.61
2/26/1987,76.06
2/27/1987,76.44
3/2/1987,75.79
3/3/1987,75.32
3/4/1987,76.68
3/5/1987,77.38
3/6/1987,76.99
3/9/1987,76.08
3/10/1987,76.84
3/11/1987,76.76
3/12/1987,76.61
3/13/1987,75.74
3/16/1987,75.27
3/17/1987,76.86
3/18/1987,76.78
3/19/1987,77.68
3/20/1987,78.58
3/23/1987,78.43
3/24/1987,78.76
3/25/1987,78.68
3/26/1987,78.4
3/27/1987,77.43
3/30/1987,75.31
3/31/1987,76.43
4/1/1987,76.68
4/2/1987,77.68
4/3/1987,79.57
4/6/1987,79.47
4/7/1987,77.8
4/8/1987,77.97
4/9/1987,77.28
4/10/1987,77.54
4/13/1987,75.89
4/14/1987,74.46
4/15/1987,75.83
4/16/1987,76.54
4/20/1987,76.07
4/21/1987,77.87
4/22/1987,77.47
4/23/1987,77.14
4/24/1987,75.68
4/27/1987,75.72
4/28/1987,77.37
4/29/1987,78.39
4/30/1987,79.21
5/1/1987,79.39
5/4/1987,79.54
5/5/1987,81.66
5/6/1987,80.93
5/7/1987,80.93
5/8/1987,80.99
5/11/1987,80.21
5/12/1987,80.21
5/13/1987,80.8
5/14/1987,80.71
5/15/1987,79.21
5/18/1987,78.06
5/19/1987,76.07
5/20/1987,75.74
5/21/1987,75.88
5/22/1987,75.74
5/26/1987,78.12
5/27/1987,78.29
5/28/1987,79.2
5/29/1987,78.86
6/1/1987,77.9
6/2/1987,76.88
6/3/1987,77.09
6/4/1987,77.46
6/5/1987,77.05
6/8/1987,77.78
6/9/1987,78.9
6/10/1987,78.46
6/11/1987,78.28
6/12/1987,78.67
6/15/1987,78.22
6/16/1987,78.4
6/17/1987,78.75
6/18/1987,78.58
6/19/1987,78.64
6/22/1987,79.04
6/23/1987,78.56
6/24/1987,78.58
6/25/1987,78.51
6/26/1987,77.97
6/29/1987,77.57
6/30/1987,76.68
7/1/1987,76.61
7/2/1987,77.04
7/6/1987,76.33
7/7/1987,75.72
7/8/1987,75.61
7/9/1987,75.58
7/10/1987,75.6
7/13/1987,76.58
7/14/1987,78.28
7/15/1987,78.47
7/16/1987,78.92
7/17/1987,78.81
7/20/1987,77.75
7/21/1987,76.96
7/22/1987,76.37
7/23/1987,75.8
7/24/1987,76.29
7/27/1987,76.58
7/28/1987,76.59
7/29/1987,76.76
7/30/1987,77.39
7/31/1987,77.35
8/3/1987,76.45
8/4/1987,76.46
8/5/1987,77.8
8/6/1987,80.12
8/7/1987,81.41
8/10/1987,82.37
8/11/1987,83.39
8/12/1987,82.78
8/13/1987,83.21
8/14/1987,83.31
8/17/1987,83.14
8/18/1987,81.88
8/19/1987,82.29
8/20/1987,83.81
8/21/1987,84.67
8/24/1987,84.33
8/25/1987,84.93
8/26/1987,84.66
8/27/1987,83.99
8/28/1987,83.29
8/31/1987,83.83
9/1/1987,84.08
9/2/1987,82.08
9/3/1987,81.61
9/4/1987,80.91
9/8/1987,79.55
9/9/1987,80.07
9/10/1987,81.45
9/11/1987,82.43
9/14/1987,82.03
9/15/1987,80.85
9/16/1987,80.44
9/17/1987,80.54
9/18/1987,80.39
9/21/1987,79.01
9/22/1987,80.74
9/23/1987,81.74
9/24/1987,81.88
9/25/1987,81.89
9/28/1987,82.47
9/29/1987,82.25
9/30/1987,82.49
10/1/1987,84.31
10/2/1987,85.21
10/5/1987,86.64
10/6/1987,84.15
10/7/1987,83.55
10/8/1987,81.85
10/9/1987,81.42
10/12/1987,80.41
10/13/1987,81.38
10/14/1987,79.56
10/15/1987,77.75
10/16/1987,73.75
10/19/1987,59.19
10/20/1987,55.95
10/21/1987,60.45
10/22/1987,56.56
10/23/1987,55.09
10/26/1987,48.22
10/27/1987,49.3
10/28/1987,50.01
10/29/1987,54.33
10/30/1987,57.6
11/2/1987,58.46
11/3/1987,56.83
11/4/1987,56.47
11/5/1987,57.31
11/6/1987,57.1
11/9/1987,55.65
11/10/1987,54.41
11/11/1987,54.95
11/12/1987,56.9
11/13/1987,56.31
11/16/1987,56.17
11/17/1987,54.85
11/18/1987,55.48
11/19/1987,54.1
11/20/1987,54.13
11/23/1987,54.54
11/24/1987,55.8
11/25/1987,55.62
11/27/1987,54.56
11/30/1987,52.53
12/1/1987,52.56
12/2/1987,52.81
12/3/1987,50.86
12/4/1987,50.09
12/7/1987,51.26
12/8/1987,52.87
12/9/1987,52.87
12/24/1987,60.56
1/19/1988,58.06
1/20/1988,55.73
1/21/1988,55.49
1/22/1988,56.06
1/25/1988,57.31
1/26/1988,56.6
1/27/1988,56.62
1/28/1988,57.51
1/29/1988,57.98
2/1/1988,57.76
2/2/1988,57.51
2/3/1988,56.31
2/4/1988,56.38
2/5/1988,56.59
2/8/1988,56.33
2/9/1988,56.97
2/10/1988,58.4
2/11/1988,58.72
2/12/1988,59.12
2/16/1988,59.65
2/17/1988,59.81
2/18/1988,59.92
2/19/1988,60.76
2/22/1988,61.85
2/23/1988,62.11
2/24/1988,62.63
2/25/1988,62.15
2/26/1988,62.21
2/29/1988,63.1
3/1/1988,63.04
3/2/1988,63.78
3/3/1988,64.29
3/4/1988,64.4
3/7/1988,65.15
3/8/1988,65.61
3/9/1988,66.32
3/10/1988,64.72
3/11/1988,64.44
3/14/1988,64.74
3/15/1988,64.31
3/16/1988,64.97
3/17/1988,65.03
3/18/1988,64.49
3/21/1988,63.89
3/22/1988,64.12
3/23/1988,63.62
3/24/1988,61.98
3/25/1988,61.1
3/28/1988,61.14
3/29/1988,61.5
3/30/1988,60.87
3/31/1988,61.51
4/4/1988,60.74
4/5/1988,61.19
4/6/1988,62.87
4/7/1988,62.81
4/8/1988,63.1
4/11/1988,64.43
4/12/1988,64.56
4/13/1988,64.75
4/14/1988,61.99
4/15/1988,61.87
4/18/1988,61.83
4/19/1988,61.92
4/20/1988,61.48
4/21/1988,60.97
4/22/1988,61.51
4/25/1988,61.93
4/26/1988,62.9
4/27/1988,63.33
4/28/1988,63.08
4/29/1988,62.7
5/2/1988,62.97
5/3/1988,63.51
5/4/1988,63.32
5/5/1988,62.97
5/6/1988,62.67
5/9/1988,62.08
5/10/1988,61.89
5/11/1988,60.53
5/12/1988,60.69
5/13/1988,61.39
5/16/1988,61.74
5/17/1988,61.1
5/18/1988,59.75
5/19/1988,59.75
5/20/1988,59.87
5/23/1988,59.06
5/24/1988,59.67
5/25/1988,59.51
5/26/1988,59.44
5/27/1988,59.14
5/31/1988,60.96
6/1/1988,62.09
6/2/1988,61.81
6/3/1988,62.18
6/6/1988,62.99
6/7/1988,63.32
6/8/1988,64.64
6/9/1988,64.56
6/10/1988,65.04
6/13/1988,65.21
6/14/1988,65.57
6/15/1988,65.56
6/16/1988,64.89
6/17/1988,64.88
6/20/1988,64.53
6/21/1988,65.46
6/22/1988,66.19
6/23/1988,66.31
6/24/1988,66.14
6/27/1988,65.54
6/28/1988,66.68
6/29/1988,66.54
6/30/1988,67.17
7/1/1988,66.97
7/5/1988,67.53
7/6/1988,66.78
7/7/1988,66.58
7/8/1988,66.03
7/11/1988,65.66
7/12/1988,65.03
7/13/1988,65.01
7/14/1988,65.06
7/15/1988,65.08
7/18/1988,64.93
7/19/1988,63.72
7/20/1988,63.89
7/21/1988,62.65
7/22/1988,61.88
7/25/1988,61.97
7/26/1988,61.85
7/27/1988,60.83
7/28/1988,61.46
7/29/1988,62.41
8/1/1988,62.53
8/2/1988,62.12
8/3/1988,62.08
8/4/1988,61.94
8/5/1988,61.69
8/8/1988,61.52
8/9/1988,60.67
8/10/1988,59.31
8/11/1988,59.42
8/12/1988,59.29
8/15/1988,58.03
8/16/1988,58.37
8/17/1988,57.99
8/18/1988,58.09
8/19/1988,57.69
8/22/1988,56.83
8/23/1988,56.62
8/24/1988,57.7
8/25/1988,57.19
8/26/1988,57.28
8/29/1988,57.99
8/30/1988,57.92
8/31/1988,57.58
9/1/1988,56.7
9/2/1988,57.8
9/6/1988,57.56
9/7/1988,57.17
9/8/1988,57.44
9/9/1988,58.54
9/12/1988,58.54
9/13/1988,58.37
9/14/1988,58.84
9/15/1988,58.3
9/16/1988,58.62
9/19/1988,58.16
9/20/1988,58.26
9/21/1988,58.4
9/22/1988,58.46
9/23/1988,58.56
9/26/1988,58.08
9/27/1988,57.84
9/28/1988,57.9
9/29/1988,58.56
9/30/1988,58.48
10/3/1988,57.83
10/4/1988,57.49
10/5/1988,57.07
10/6/1988,57.01
10/7/1988,57.11
10/10/1988,56.76
10/11/1988,57.24
10/12/1988,56.53
10/13/1988,56.87
10/14/1988,56.87
10/17/1988,56.91
10/18/1988,57.15
10/19/1988,56.94
10/20/1988,57.83
10/21/1988,57.73
10/24/1988,57.4
10/25/1988,57.04
10/26/1988,56.83
10/27/1988,55.92
10/28/1988,56.09
10/31/1988,56.24
11/1/1988,56.26
11/2/1988,55.96
11/3/1988,55.83
11/4/1988,55.36
11/7/1988,54.81
11/8/1988,55.27
11/9/1988,55.28
11/10/1988,55.12
11/11/1988,54.09
11/14/1988,53.91
11/15/1988,53.83
11/16/1988,52.97
11/17/1988,53.12
11/18/1988,53.44
11/21/1988,52.66
11/22/1988,52.67
11/23/1988,53.19
11/25/1988,52.76
11/28/1988,52.93
11/29/1988,53.46
11/30/1988,53.94
12/1/1988,54.5
12/2/1988,55.17
12/5/1988,55.76
12/6/1988,56.01
12/7/1988,55.67
12/8/1988,55.14
12/9/1988,55.07
12/12/1988,54.59
12/13/1988,54.35
12/14/1988,54.49
12/15/1988,54.97
12/16/1988,55.53
12/19/1988,55.95
12/20/1988,55.78
12/21/1988,55.83
12/22/1988,55.77
12/23/1988,56.15
12/27/1988,56.18
12/28/1988,56.46
12/29/1988,57.13
12/30/1988,57.14
1/3/1989,57.12
1/4/1989,58.31
1/5/1989,58.31
1/6/1989,58.22
1/9/1989,58.17
1/10/1989,57.87
1/11/1989,57.92
1/12/1989,58.1
1/13/1989,58.1
1/16/1989,58.01
1/17/1989,57.32
1/18/1989,57.91
1/19/1989,58.42
1/20/1989,58.47
1/23/1989,58.06
1/24/1989,58.65
1/25/1989,58.74
1/26/1989,59.56
1/27/1989,59.41
1/30/1989,59.78
1/31/1989,60.38
2/1/1989,60.7
2/2/1989,61.24
2/3/1989,61.35
2/6/1989,61.01
2/7/1989,61.72
2/8/1989,61.24
2/9/1989,61.05
2/10/1989,60.09
2/13/1989,59.99
2/14/1989,59.94
2/15/1989,60.6
2/16/1989,60.69
2/17/1989,60.91
2/21/1989,60.65
2/22/1989,59.81
2/23/1989,60.01
2/24/1989,59.04
2/27/1989,59.15
2/28/1989,59.06
3/1/1989,58.85
3/2/1989,59.19
